go .	va !
they won .	elles ont gagne .
try this .	essaie ceci !
try this .	essayez ceci !
we ll go .	nous irons .
what for ?	pour quoi faire ?
what for ?	a quoi bon ?
can we go ?	pouvons nous partir ?
can we go ?	pouvons nous nous en aller ?
can we go ?	pouvons nous y aller ?
come back .	reviens !
come back .	revenez !
do it now .	faites le maintenant .
feel this .	sens ca !
feel this .	sentez ca !
feel this .	touche ca !
feel this .	touchez ca !
get ready .	prepare toi .
get ready .	preparez vous .
go get it .	va le chercher !
go get it .	allez le chercher !
he s good .	il est bon .
here i am .	me voici .
here s .	voila cinq dollars .
how s tom ?	comment tom va t il ?
how s tom ?	comment va tom ?
i am busy .	je suis occupe .
i am good .	je suis bon .
i am here .	je suis ici .
i give in .	je donne ma langue au chat .
i give up .	j abandonne .
i have it .	je l ai .
i like it .	j aime ca .
i love it !	j adore ca !
i love it .	j adore ca !
i must go .	je dois y aller .
i must go .	il faut que j y aille .
i must go .	il me faut y aller .
i must go .	il me faut partir .
i must go .	il me faut m en aller .
i must go .	je dois partir .
i must go .	je dois m en aller .
i must go .	il faut que je m en aille .
i need it .	j en ai besoin .
i need it .	il me le faut .
i see tom .	je vois tom .
i want it .	je le veux .
i will go .	j irai .
i d leave .	je partirais .
i ll help .	j aiderai .
i ll stop .	j arreterai .
i m going .	je pars maintenant .
i m going .	je me tire .
i m going .	j y vais .
i m going .	je pars .
i m ready !	je suis prete !
i m ready !	je suis pret !
i m right .	j ai raison .
is it you ?	est ce toi ?
is it you ?	est ce vous ?
is it you ?	est ce que c est vous ?
it s .	il est trois heures et demie .
it s .	il est huit heures trente .
it s .	il est h .
it s here .	elle est ici .
it s here .	c est ici .
it s time .	il est temps !
it s time .	c est l heure .
it s work .	c est du boulot .
look back !	regarde derriere toi !
look back !	regarde derriere !
stop that !	arretez !
stop that .	arretez ca !
stop that .	arrete ca !
that s it .	c est ca .
try it on .	essaie le !
we did it !	nous avons reussi !
we did it .	nous avons reussi !
we did it .	nous l avons fait .
we ll try .	nous essayerons .
we ll try .	nous tenterons .
what s up ?	ca va ?
what s up ?	quoi de beau ?
am i right ?	ai je raison ?
am i right ?	suis je dans le vrai ?
are you up ?	es tu leve ?
are you up ?	es tu levee ?
are you up ?	etes vous leve ?
are you up ?	etes vous levee ?
are you up ?	etes vous leves ?
are you up ?	etes vous levees ?
are you up ?	es tu debout ?
are you up ?	etes vous debout ?
be on time .	soyez a l heure .
be on time .	sois a l heure .
can i come ?	puis je venir ?
can i help ?	puis je aider ?
come on in !	entre donc !
come on in .	entre .
come to me .	venez a moi .
come to us .	venez a nous .
give it up .	laisse tomber .
give it up .	abandonne !
he is busy .	il a a faire .
he is here !	il est ici !
he made it .	il a reussi .
here he is !	il est ici !
here it is .	le voila .
here it is .	tenez .
here it is .	le voici .
here we go .	c est parti !
here we go .	on est partis !
how is tom ?	comment va tom ?
how s work ?	comment va le travail ?
i am going .	j y vais .
i am right .	j ai raison .
i can come .	je peux venir .
i can t go .	je ne peux pas y aller .
i can t go .	je ne peux pas m y rendre .
i can t go .	je ne peux pas partir .
i did that .	j ai fait cela .
i did that .	c est moi qui l ai fait .
i got busy .	je suis devenu occupe .
i got busy .	je suis devenu occupee .
i have one .	j en ai un .
i have one .	j en ai une .
i have won .	j ai gagne .
i have won .	je l ai emporte .
i help him .	je l aide .
i know her .	je la connais .
i know him .	je le connais .
i like tom .	j aime tom .
i like him .	je l apprecie .
i like him .	je l aime bien .
i like you .	tu me plais .
i like you .	vous me plaisez .
i like you .	je t aime .
i like you .	je t aime bien .
i love tom .	j aime tom .
i love you .	je t aime !
i love you .	je t adore .
i love you .	je t aime .
i need you .	j ai besoin de toi .
i need you .	j ai besoin de vous .
i want one !	j en veux un !
i want one !	j en veux une !
i want one .	j en veux un !
i want one .	j en veux une !
i want you .	j ai envie de toi .
i want you .	je te veux !
i want you .	je vous veux !
i was busy .	j etais occupee .
i was good .	je fus bon .
i was good .	j ai ete bon .
i was good .	j ai ete bonne .
i was good .	je fus bonne .
i will try .	je vais essayer .
i will try .	j essaierai .
i won t go .	je n irai pas .
i work out .	je fais de l exercice .
i ll do it .	je vais le faire .
i ll do it .	je le ferai .
i ll go in .	j entrerai .
i ll leave .	je partirai .
is he busy ?	est il occupe ?
is it love ?	est ce de l amour ?
is it love ?	est ce de l amour ?
is it time ?	est il l heure ?
is that it ?	est ce cela ?
is that so ?	en va t il ainsi ?
is that so ?	en est il ainsi ?
is that so ?	est ce le cas ?
it is .	il est sept heures trente .
it ll work .	ca fonctionnera .
it ll work .	ca marchera .
it s on me .	c est pour moi .
it s ready .	c est pret .
just do it .	fais le donc !
just do it .	fais le tout simplement !
just do it .	faites le tout simplement !
look at it .	regardez le !
look at it .	regarde le !
look at me .	regarde moi .
look it up .	cherche le !
she s busy .	elle est occupee .
that s all .	c est tout .
that s her .	c est elle .
this is it .	ca y est .
tom s here .	tom est la .
tom s here .	tom est ici .
tom s home .	tom est chez lui .
tom s home .	tom est a la maison .
tom s well .	tom va bien .
we like it .	nous l apprecions .
we made it .	nous l avons fait .
we made it .	nous l avons accompli .
we made it .	nous avons reussi .
we must go .	nous devons y aller .
we must go .	nous devons partir .
we must go .	il nous faut y aller .
we must go .	nous devons nous en aller .
we need it .	nous en avons besoin .
we want it .	nous le voulons .
we ll help .	nous apporterons de l aide .
we re busy .	nous sommes occupes .
we re busy .	nous sommes occupees .
we re home .	nous sommes chez nous .
what is it ?	qu est ce que c est ?
what is it ?	qu est ce ?
what is it ?	qu est ce c est ?
where am i ?	ou suis je ?
you did it !	c est toi qui l as fait !
you did it !	c est vous qui l avez fait !
you may go .	vous pouvez partir .
you may go .	tu peux y aller .
you may go .	tu peux partir .
you may go .	tu peux t en aller .
you may go .	vous pouvez vous en aller .
you may go .	vous pouvez y aller .
all is well .	tout va bien .
are you tom ?	etes vous tom ?
are you tom ?	est ce que tu es tom ?
can we come ?	pouvons nous venir ?
can we help ?	pouvons nous donner un coup de main ?
can we stop ?	pouvons nous arreter ?
can you see ?	arrives tu a voir ?
can you see ?	arrivez vous a voir ?
can you try ?	pouvez vous essayer ?
come get it .	viens le chercher .
come get me .	venez me chercher .
did tom eat ?	est ce que tom a mange ?
did tom eat ?	tom a t il mange ?
do it right .	fais le comme il faut !
do it right .	faites le comme il faut !
don t do it !	ne le fais pas !
don t do it !	ne le faites pas !
don t do it .	ne le fais pas !
don t do it .	ne le faites pas !
don t leave !	ne t en va pas !
don t leave !	ne pars pas !
don t leave !	ne quittez pas !
don t leave .	ne pars pas !
don t leave .	ne partez pas !
go home now .	va chez toi maintenant .
go home now .	va chez nous maintenant .
go home now .	va a la maison maintenant .
go home now .	allez chez vous maintenant .
go home now .	allez a la maison maintenant .
go with tom .	va avec tom .
go with tom .	allez avec tom .
have a look .	regarde !
have a look .	regardez !
have a look .	jette un il !
have a look .	jetez un il !
he was busy .	il etait occupe .
he s not in .	il n est pas chez lui .
he s not in .	il n est pas a l interieur .
he s not in .	il n est pas la .
help me out .	aide moi a sortir .
help me out .	aidez moi a sortir .
here i come .	j arrive .
here i come .	me voici .
here she is !	la voila !
here we are !	nous voila !
here we are !	nous voici !
here we are !	nous y voila !
here we are .	on y est .
here we are .	nous y voici .
here we are .	nous y voila !
how are you ?	comment vas tu ?
how are you ?	comment allez vous ?
how are you ?	ca va ?
how are you ?	comment il va ?
how are you ?	comment allons nous ?
how are you ?	comment ca va ?
i can t eat .	je ne peux pas manger .
i can t say .	je ne puis le dire .
i can t say .	je ne peux le dire .
i can t see .	je n arrive pas a voir .
i can t see .	je ne parviens pas a voir .
i can t see .	je suis aveugle .
i could try .	je pourrais essayer .
i didn t go .	je n y suis pas alle .
i didn t go .	je n y suis pas allee .
i didn t go .	je ne m y suis pas rendu .
i didn t go .	je ne m y suis pas rendue .
i know that .	je le sais .
i know this .	je sais ca .
i know this .	je le sais .
i like that .	j aime cela .
i like that .	j apprecie cela .
i like this .	je l apprecie .
i like this .	j apprecie ceci .
i need that .	il me faut ca .
i need that .	j en ai besoin .
i need that .	c est ce qu il me faut .
i need time .	il me faut du temps .
i need time .	j ai besoin de temps .
i should go .	je devrais partir .
i should go .	je devrais y aller .
i want that .	je le veux .
i want that .	moi je veux ca .
i want this .	je veux ceci .
i want time .	je veux du temps .
i was ready .	j etais prete .
i was ready .	j y etais pret .
i was ready .	j y etais prete .
i was there .	j y etais .
i was there .	je m y trouvais .
i was there .	j etais la .
i was there .	je me tenais la .
i went home .	j allais a la maison .
i will come .	je viendrai .
i will help .	j aiderai .
i ll get in .	j arriverai a entrer .
i ll get it .	je vais aller le chercher .
i ll get it .	j irai le chercher .
i ll get up .	je me leverai .
i ll go now .	j y vais maintenant .
i ll go see .	j irai voir .
i ll try it .	je l essayerai .
i ll try it .	je le tenterai .
i m at home .	je suis a la maison .
i m at home .	je suis dans la maison .
i m in love .	je suis amoureux .
i m in love .	je suis amoureuse .
i m not tom .	je ne suis pas tom .
is tom here ?	est ce que tom est ici ?
is tom well ?	est ce que tom va bien ?
is tom well ?	est ce que tom va bien ?
is tom well ?	tom va t il bien ?
is he right ?	a t il raison ?
is it ready ?	est ce pret ?
is it to go ?	ca doit partir ?
is it to go ?	cela doit il partir ?
is it to go ?	a emporter ?
is that tom ?	est ce tom ?
is that all ?	c est tout ?
is that you ?	est ce toi ?
is that you ?	est ce vous ?
is that you ?	est ce que c est vous ?
it can t be !	c est pas possible !
just say no .	dites simplement non !
just say no .	dis simplement non !
she s a dog .	c est une enfoiree .
should i go ?	devrais je y aller ?
should i go ?	devrais je partir ?
that is all .	c est tout .
there he is .	le voila .
there he is .	le voici .
there it is .	il est la .
they got it .	ils l ont eu .
they got it .	ils l ont eue .
was it good ?	etait ce bon ?
was it good ?	c etait bon ?
we all know .	nous le savons tous .
we all know .	nous le savons toutes .
we all work .	nous travaillons tous .
we all work .	nous travaillons toutes .
we can t go .	nous ne pouvons y aller .
we can t go .	nous ne pouvons nous y rendre .
we can t go .	nous ne pouvons pas y aller .
we can t go .	nous ne pouvons pas nous y rendre .
we can t go .	nous ne pouvons pas partir .
we did that .	nous avons fait cela .
we did that .	on a fait ca .
we know him .	nous le connaissons .
we know him .	on le connait .
we like him .	nous l apprecions .
we like him .	nous l aimons bien .
we need tom .	nous avons besoin de tom .
we want tom .	nous voulons tom .
we want one .	nous en voulons un .
we want one .	nous en voulons une .
we re alone .	nous sommes seuls .
we re alone .	nous sommes seules .
we re going .	nous y allons .
we re ready .	nous sommes pretes .
what was it ?	qu etait ce ?
what was it ?	qu est ce que c etait ?
what was it ?	de quoi s agissait il ?
what was it ?	qu y avait il ?
what d i do ?	que ferais je ?
what s that ?	qu est ce que c est que ca ?
what s that ?	qu est ce ?
what s that ?	qu est ce la ?
what s that ?	qu est cela ?
what s this ?	qu est ce que c est ?
what s this ?	c est quoi ?
what s this ?	c est quoi ca ?
where is he ?	ou est il ?
where is it ?	ou est il ?
where is it ?	ou est elle ?
where was i ?	ou en etais je ?
where was i ?	ou etais je ?
where s tom ?	ou est tom ?
will you go ?	irez vous ?
will you go ?	iras tu ?
will you go ?	t y rendras tu ?
will you go ?	vous y rendrez vous ?
you must go .	il faut que tu t en ailles .
you must go .	tu dois y aller .
you must go .	tu dois partir .
you must go .	tu dois t en aller .
you re back .	tu es de retour .
you re back .	vous etes de retour .
you re good .	vous etes bon .
you re good .	vous etes bonne .
you re good .	vous etes bons .
you re good .	vous etes bonnes .
you re good .	tu es bon .
you re good .	tu es bonne .
you re good .	t es bon .
you re good .	t es bonne .
all is still .	tout est calme .
am i in love ?	suis je amoureuse ?
am i in love ?	suis je amoureux ?
are we alone ?	sommes nous seuls ?
are we alone ?	sommes nous seules ?
are we ready ?	sommes nous prets ?
are we ready ?	sommes nous pretes ?
are you busy ?	es tu occupe ?
are you busy ?	etes vous occupe ?
are you busy ?	etes vous occupee ?
are you busy ?	es tu occupe ?
are you busy ?	es tu occupee ?
are you busy ?	etes vous occupes ?
are you busy ?	etes vous occupees ?
are you home ?	es tu chez toi ?
are you home ?	etes vous chez vous ?
are you home ?	es tu chez nous ?
are you home ?	es tu chez moi ?
are you home ?	etes vous chez nous ?
are you home ?	etes vous chez moi ?
are you home ?	es tu a la maison ?
are you home ?	etes vous a la maison ?
can i go now ?	puis je m en aller maintenant ?
can i go now ?	puis je partir maintenant ?
can i go now ?	est ce que je pourrais y aller maintenant ?
can i try it ?	je peux essayer ?
can we leave ?	pouvons nous partir ?
can we leave ?	peut on s en aller ?
can you come ?	peux tu venir ?
can you come ?	pouvez vous venir ?
come back in .	reviens a l interieur .
come help me .	viens m aider .
come help me .	viens me donner un coup de main .
come in tom .	entre tom .
come up here .	approche .
come up here .	approchez .
come with us .	venez avec nous .
don t get up .	ne vous levez pas .
good for you .	c est bien pour toi .
good for you .	c est bien pour vous .
he is not in .	il n est pas chez lui .
he is not in .	il n est pas a l interieur .
he will come .	il devrait arriver .
he will come .	il viendra .
he s out now .	il est actuellement a l exterieur .
how did i do ?	comment ai je fait ?
i am at home .	je suis a la maison .
i can t help .	je n y peux rien .
i could help .	je pourrais aider .
i could help .	je pouvais aider .
i did see it .	je l ai vu en effet .
i don t know .	je l ignore .
i feel happy .	je me sens heureux .
i have a car .	j ai une voiture .
i have a car .	je dispose d une voiture .
i have money .	j ai de l argent .
i have to go .	je dois y aller .
i have to go .	il me faut y aller .
i have to go .	il me faut partir .
i have to go .	il me faut m en aller .
i have to go .	je dois partir .
i have to go .	je dois m en aller .
i need a car .	j ai besoin d une voiture .
i need money .	j ai besoin d argent .
i need to go .	je dois y aller .
i need to go .	je dois partir .
i need to go .	je dois m en aller .
i want to go .	je veux partir .
i want to go .	je veux m en aller .
i want to go .	je veux y aller .
i won t come .	je ne viendrai pas .
i ll be back .	je reviens .
i ll be back .	je reviendrai .
i ll get you .	j irai te chercher .
i ll get you .	j irai vous chercher .
i ll get you .	j irai te prendre .
i ll get you .	j irai vous prendre .
i ll go back .	je reviendrai .
i ll go home .	j irai chez moi .
i ll go look .	j irai voir .
i ll just go .	je vais juste y aller .
i m not busy .	je ne suis pas occupe .
i m not home .	je ne suis pas chez moi .
i m not home .	je ne suis pas a la maison .
i m not well .	je ne vais pas bien .
i m so happy .	je suis si heureux .
is tom right ?	est ce que tom a raison ?
is tom there ?	est ce que tom est ici ?
is tom there ?	est ce que tom est la ?
is that a no ?	est ce un non ?
is that love ?	c est ca l amour ?
is that love ?	est ce de l amour ?
is this love ?	c est ca l amour ?
is this love ?	est ce de l amour ?
is this love ?	est ce de l amour ?
is this love ?	est ce l amour ?
is this love ?	serait ce de l amour ?
it s for you .	c est pour toi .
it s for you .	c est pour vous .
look at this .	regarde ca !
look at this .	regardez ca !
may i try it ?	est ce que je peux l essayer ?
must i go on ?	dois je continuer ?
need i go on ?	ai je besoin de continuer ?
now leave us .	maintenant laissez nous .
now leave us .	maintenant laisse nous .
now leave us .	vous pouvez disposer .
she may come .	peut etre viendra t elle .
she was busy .	elle etait occupee .
she went out .	elle est partie .
she went out .	elle sortit .
should we go ?	devrions nous y aller ?
stop the car .	arrete la voiture !
stop the car .	arretez la voiture !
that will do .	ca fera l affaire .
they know us .	ils nous connaissent .
they know us .	elles nous connaissent .
they re back .	ils sont de retour .
they re back .	elles sont de retour .
they re here .	ils sont la .
this is love .	c est l amour .
this is love .	c est de l amour .
tom is happy .	tom est content .
tom is there .	tom est la bas .
we got ready .	nous nous sommes appretes .
we got ready .	nous nous sommes appretees .
we need help .	nous avons besoin d aide .
we need time .	il nous faut du temps .
we should go .	nous devrions partir .
we were busy .	nous etions occupes .
we were busy .	nous etions occupees .
what is love ?	qu est ce que l amour ?
what is love ?	qu est l amour ?
what is that ?	qu est ce que c est que ca ?
what is that ?	qu est ce ?
what is this ?	qu est ce que c est ?
what is this ?	qu est ceci ?
where is tom ?	ou est tom ?
won t you go ?	ne vas tu pas y aller ?
won t you go ?	n allez vous pas y aller ?
you are good .	vous etes bon .
you are good .	vous etes bonne .
you are good .	vous etes bons .
you are good .	vous etes bonnes .
you are good .	tu es bon .
you are good .	tu es bonne .
you can come .	tu peux te joindre .
you can come .	vous pouvez venir .
you can help .	tu peux aider .
you did that .	vous avez fait cela .
you did that .	vous avez fait ca .
you did that .	tu as fait ca .
you did this .	tu as fais ceci .
you did this .	vous avez fait ceci .
you re right .	tu as raison .
are they busy ?	sont elles occupees ?
are they busy ?	sont ils occupees ?
are you happy ?	etes vous contents ?
are you happy ?	etes vous heureux ?
are you happy ?	es tu content ?
are you happy ?	etes vous content ?
are you happy ?	es tu contente ?
are you happy ?	etes vous contente ?
are you happy ?	etes vous contentes ?
are you happy ?	etes vous heureuses ?
are you ready ?	es tu pret ?
are you ready ?	etes vous pret ?
are you ready ?	es tu prete ?
are you ready ?	etes vous prets ?
are you ready ?	etes vous pret ?
are you ready ?	etes vous prete ?
are you ready ?	prets ?
are you ready ?	pretes ?
are you there ?	t es la ?
are you there ?	vous etes la ?
are you there ?	t es la ?
can i come in ?	puis je entrer ?
can i come in ?	puis je entrer ?
can i come in ?	je peux entrer ?
can he see me ?	est il en mesure de me voir ?
can he see me ?	peut il me voir ?
can he see us ?	peut il nous voir ?
can he see us ?	est il en mesure de nous voir ?
come right in .	entrez je vous prie .
could i do it ?	pourrais je le faire ?
could i do it ?	serais je capable de le faire ?
could i do it ?	serais je en mesure de le faire ?
did i do that ?	ai je fait cela ?
did that work ?	ca a marche ?
did that work ?	est ce que ca a marche ?
did that work ?	ca a fonctionne ?
did you do it ?	l as tu fait ?
did you do it ?	l avez vous fait ?
do i know tom ?	est ce que je connais tom ?
do i know him ?	je le connais ?
do i know you ?	est ce que je te connais ?
do i know you ?	est ce que je vous connais ?
do what i say .	fais ce que je dis .
do what i say .	faites ce que je dis .
do you get it ?	tu captes ?
do you get it ?	vous captez ?
do you get it ?	tu piges ?
do you get it ?	vous pigez ?
do you get it ?	pigez vous ?
do you get it ?	est ce que vous captez ?
do you get it ?	est ce que tu captes ?
do you see me ?	me vois tu ?
do you see me ?	me voyez vous ?
don t do that .	ne fais pas cela .
don t do that .	ne fais pas ca .
don t do that .	ne faites pas ca .
don t do this .	ne fais pas ca !
don t do this .	ne faites pas ca !
don t give up !	n abandonne pas !
don t give up .	n abandonne pas .
don t give up .	n abandonnez pas .
don t give up .	ne laisse pas tomber .
don t give up .	ne laissez pas tomber .
don t tell me .	ne me le dis pas .
don t tell me .	m en parle pas .
get back here .	reviens ici !
get back here .	revenez ici !
give him time .	donne lui du temps .
give it to me !	donne le moi !
give it to me .	donnez le moi .
give it to me .	donne le moi .
give it to me .	donne la moi .
give it to me .	donnez la moi .
have him come .	fais le venir .
he is out now .	il est actuellement sorti .
he made me go .	il m a fait partir .
he s not home .	il n est pas a la maison .
how can it be ?	comment se peut il ?
how can it be ?	comment cela se peut il ?
how do i look ?	de quoi ai je l air ?
how s the dog ?	comment va le chien ?
i can do this .	je peux le faire !
i can feel it .	j arrive a le sentir .
i can feel it .	j arrive a le ressentir .
i can feel it .	je parviens a le ressentir .
i can t do it .	je n y arrive pas .
i can t do it .	je n y parviens pas .
i can t leave .	je ne peux pas partir .
i did see him .	je l ai vu .
i didn t know .	je ne savais pas .
i didn t look .	je n ai pas regarde .
i didn t stop .	je n ai pas arrete .
i didn t stop .	je n ai pas cesse .
i do like you .	je vous apprecie vraiment .
i do like you .	je t apprecie vraiment .
i do love you .	je t aime !
i feel it now .	je le sens maintenant .
i have to try .	il me faut essayer .
i have to try .	il faut que j essaie .
i just did it .	je viens de le faire .
i just got up .	je viens de me lever .
i like to eat .	j aime manger .
i made him go .	je l ai fait partir .
i must go out .	je dois sortir .
i think i can .	je pense pouvoir .
i want it all .	je veux tout .
i was at work .	j etais au travail .
i ll be going .	j irai .
i ll be there .	j y serai .
i ll eat here .	je mangerai ici .
i ll get help .	j obtiendrai de l aide .
i ll get this .	je vais prendre ceci .
i ll help you .	je t aiderai .
i ll help you .	je vous aiderai .
i ll stop now .	je vais arreter maintenant .
i ll tell you .	je te dirai .
i ll tell you .	je vous dirai .
i ll try that .	j essayerai ca .
i ll try that .	je tenterai ca .
i m all right .	je vais bien .
i m home tom .	je suis chez moi tom .
i m not going .	je n y vais pas .
i m not going .	je ne m y rends pas .
i m not going .	je ne m en vais pas .
i m not happy .	je ne suis pas content .
i m not happy .	je ne suis pas heureux .
i m not happy .	je ne suis pas heureuse .
i m not happy .	je ne suis pas contente .
i m not ready .	je ne suis pas pret .
i m not ready .	je ne suis pas prete .
i m very busy .	je suis fort occupe .
i m very busy .	je suis fort occupee .
is he at home ?	est il a la maison ?
is he at home ?	est il chez lui ?
is that right ?	en est il ainsi ?
is that right ?	est ce le cas ?
is that right ?	est ce exact ?
it won t work .	ca ne marchera pas .
it s all here .	tout est ici .
it s not here .	ce n est pas ici .
it s now .	maintenant il est .
just leave it .	laisse le .
just leave it .	laisse la .
look up there .	regarde la haut .
look up there .	regardez la haut .
may i come in ?	puis je entrer ?
may i come in ?	je peux entrer ?
may i come in ?	puis je entrer ?
may i come in ?	je peux entrer ?
may i go home ?	puis je aller a la maison ?
may i go home ?	puis je me rendre a la maison ?
may i go home ?	puis je aller chez moi ?
never give up .	n abandonne jamais .
no one s here .	personne n est ici .
no one s home .	personne n est chez lui .
no one s home .	personne n est a la maison .
no he didn t .	non il ne l a pas fait .
no you can t .	non tu ne peux pas .
no you can t .	non vous ne pouvez pas .
see you there .	rendez vous la bas .
she went home .	elle est rentree chez elle .
should i come ?	devrais je venir ?
stop that now .	arrete ca maintenant .
stop that now .	arretez ca maintenant .
that s my car .	c est ma voiture .
that s my car .	c est ma bagnole .
there you are .	tu y es !
there you are .	vous y etes !
there you are .	t y voici .
there you are .	vous y voici .
they all know .	ils savent tous .
they all know .	elles savent toutes .
they are here .	ils sont la .
they know him .	ils le connaissent .
they love tom .	ils aiment tom .
they love tom .	elles aiment tom .
they re happy .	elles sont heureuses .
they re there .	ils sont la .
this is a dog .	c est un chien .
time is money .	le temps c est de l argent .
tom won t eat .	tom ne mangera pas .
was tom there ?	tom etait il la ?
was that a no ?	etait ce un non ?
we don t know .	nous ne savons pas .
we have a car .	nous avons une voiture .
we have to go .	il nous faut partir .
we have to go .	il nous faut y aller .
we must leave .	il nous faut partir .
we need a car .	nous avons besoin d une voiture .
we need a car .	il nous faut une voiture .
we need money .	nous avons besoin d argent .
we need to go .	nous devons y aller .
we need to go .	nous devons partir .
we need to go .	il nous faut partir .
we need to go .	il nous faut y aller .
we need to go .	il nous faut nous en aller .
we need to go .	nous devons nous en aller .
we should eat .	nous devrions manger .
we want to go .	nous voulons nous en aller .
we want to go .	nous voulons y aller .
we were alone .	nous etions seuls .
we were alone .	nous etions seules .
we were right .	nous avions raison .
we were right .	nous eumes raison .
we were there .	nous y etions .
we were there .	nous etions la .
we re in love .	nous nous aimons .
we re in love .	nous sommes amoureux .
we re in love .	nous sommes amoureuses .
were you busy ?	etais tu occupee ?
were you busy ?	etais tu occupe ?
were you busy ?	etiez vous occupes ?
were you busy ?	etiez vous occupees ?
what did i do ?	qu ai je fait ?
what do i get ?	qu est ce que j y gagne ?
what ll we do ?	que ferons nous ?
where are you ?	ou es tu ?
where are you ?	ou etes vous ?
where were we ?	ou etions nous ?
where were we ?	ou en etions nous ?
will she come ?	viendra t elle ?
you all right ?	ca va ?
you all right ?	ca va bien ?
you all right ?	tu vas bien ?
you can do it .	tu peux y arriver .
you can do it .	c est bon tu peux le faire .
you can do it .	tu peux le faire .
you can do it .	vous pouvez y arriver .
you can do it .	vous pouvez le faire .
you look busy .	tu sembles occupe .
you look busy .	tu as l air occupe .
you look busy .	vous avez l air occupe .
you look busy .	vous avez l air occupee .
you look busy .	vous avez l air occupes .
you look busy .	vous avez l air occupees .
you look busy .	tu as l air occupee .
you must come .	tu dois venir .
you must come .	vous devez venir .
you need this .	tu as besoin de ca .
you should go .	tu devrais y aller .
you want this ?	veux tu ceci ?
you want this ?	voulez vous ceci ?
you d love it .	tu adorerais ca .
am i not right ?	n ai je pas raison ?
can i eat that ?	je peux manger ca ?
can i eat this ?	puis je manger ceci ?
can i have one ?	puis je en avoir un ?
can i have one ?	puis je en avoir une ?
can i help you ?	puis je t aider ?
can i help you ?	puis je vous aider ?
can i help you ?	puis je t aider ?
can i see that ?	puis je voir ca ?
can i see this ?	puis je voir ca ?
can i see this ?	puis je voir ceci ?
can tom see us ?	est ce que tom peut nous voir ?
can we come in ?	pouvons nous entrer ?
come back here .	reviens ici !
come back here .	revenez ici !
come back home .	reviens a la maison .
come back home .	revenez a la maison .
come back home .	rentre a la maison .
did i say that ?	ai je dit cela ?
did she say it ?	l a t elle dit ?
did you get it ?	as tu compris ?
did you get it ?	avez vous compris ?
did you go out ?	tu es sortie ?
did you go out ?	es tu sorti ?
did you go out ?	es tu sortie ?
did you go out ?	etes vous sorti ?
did you go out ?	etes vous sortie ?
did you go out ?	etes vous sortis ?
did you go out ?	etes vous sorties ?
did you say ?	as tu dit trente ?
did you say ?	avez vous dit trente ?
did you see it ?	l as tu vu ?
did you see it ?	l as tu vue ?
did you see it ?	l as tu vu ?
did you see it ?	l avez vous vu ?
did you see it ?	l avez vous vue ?
do i need this ?	ai je besoin de ca ?
do not do that .	ne fais pas cela .
do not do that .	ne faites pas ca .
do we know you ?	vous connaissons nous ?
do you know me ?	me connaissez vous ?
do you know me ?	me connais tu ?
do you know me ?	on se connait ?
do you know me ?	tu sais qui je suis ?
do you know me ?	tu me connais ?
do you know us ?	nous connais tu ?
do you know us ?	nous connaissez vous ?
do you like it ?	tu aimes ?
do you like it ?	ca vous plait ?
